"DAS","EH"
7,156.86
14,135.84
21,124.96
28,78.94
35,51.64
42,7.26
49,-41.02
56,-19.24
63,-80.34
70,-128.16
77,-140.45
84,-115.51
91,-153.68
98,-157.88
105,-175.12
112,-164.8
119,-191
126,-203.88
133,-203.29
140,-208.38
