"Env","Rep","Block","Plot","Geno","Yield"
"UDS02-6","3","2",101,"DINORADO",1.26
"UDS02-6","3","2",102,"IR72768-15-1-1",111.11
"UDS02-6","3","2",103,"IRAT177",11.96
"UDS02-6","3","2",104,"MARAVILHA",20.36
"UDS02-6","3","2",105,"CT6516-24-3-2",73.33
"UDS02-6","3","2",106,"IR70358-84-1-1",133.33
"UDS02-6","3","2",107,"IR66421-062-1-1-",62.22
"UDS02-6","3","2",108,"IR47686-30-3-2",4.19
"UDS02-6","3","2",109,"IR68702-072-1-4-",120
"UDS02-6","3","2",110,"IR55419-04",131.11
"UDS02-6","3","3",111,"IR66424-1-2-1-5",64.44
"UDS02-6","3","3",112,"UPLRI-7",88.89
"UDS02-6","3","3",113,"CT13370-12-2-M",62.22
"UDS02-6","3","3",114,"IRAT216",64.44
"UDS02-6","3","3",115,"PSBRC82",126.67
"UDS02-6","3","3",116,"IR72",100
"UDS02-6","3","3",117,"WAB181-18",44.44
"UDS02-6","3","3",118,"WAB56-125",84.44
"UDS02-6","3","3",119,"AUS196",77.78
"UDS02-6","3","3",120,"B6144F-MR-6-0-0",57.78
"UDS02-6","3","3",121,"UPLRI-5",4.58
"UDS02-6","3","4",122,"IRAT170",13.88
"UDS02-6","3","4",123,"IR55423-01",146.67
"UDS02-6","3","4",124,"IR64",42.44
"UDS02-6","3","4",125,"PALAWAN",31.11
"UDS02-6","3","4",126,"WAB638-1",0
"UDS02-6","3","4",127,"CT13377-4-2-M",37.78
"UDS02-6","3","4",128,"WAYRAREM",24.44
"UDS02-6","3","4",129,"CT13382-8-3-M",51.11
"UDS02-6","3","4",130,"VANDANA",120
"UDS02-6","3","4",131,"PRIMAVERA",91.11
"UDS02-6","3","4",132,"PSBRC80",117.78
"UDS02-7","1","1",1,"AUS196",122.22
"UDS02-7","1","1",2,"WAB56-125",151.11
"UDS02-7","1","1",3,"IR55419-04",102.22
"UDS02-7","1","1",4,"CT13370-12-2-M",71.11
"UDS02-7","1","1",5,"IRAT216",68.89
"UDS02-7","1","1",6,"IRAT170",73.33
"UDS02-7","1","1",7,"IRAT212",64.44
"UDS02-7","1","1",8,"IR60080-46A",35.56
"UDS02-7","1","1",9,"IR66417-18-1-1-1",8.89
"UDS02-7","1","1",10,"IR71525-19-1-1",33.33
"UDS02-7","1","1",11,"IR65261-09-1-B",28.89
"UDS02-7","1","2",12,"WAB638-1",1.04
"UDS02-7","1","2",13,"IR64",51.11
"UDS02-7","1","2",14,"UPLRI-5",17.82
"UDS02-7","1","2",15,"IR70358-84-1-1",88.89
"UDS02-7","1","2",16,"PRIMAVERA",53.33
"UDS02-7","1","2",17,"IR72768-15-1-1",48.89
"UDS02-7","1","2",18,"IR65907-116-1-B",17.78
"UDS02-7","1","2",19,"IR55423-01",57.78
"UDS02-7","1","2",20,"PSBRC80",33.33
"UDS02-7","1","2",21,"MARAVILHA",42.22
"UDS02-7","1","2",22,"IR66421-062-1-1-",51.11
"UDS02-7","1","3",23,"CT13377-4-2-M",40
"UDS02-7","1","3",24,"AZUCENA",11.11
"UDS02-7","1","3",25,"IR68702-072-1-4-",28.89
"UDS02-7","1","3",26,"IR47686-30-3-2",0.56
"UDS02-7","1","3",27,"DINORADO",4.14
"UDS02-7","1","3",28,"WAYRAREM",48.89
"UDS02-7","1","3",29,"IR70360-38-1-B-1",51.11
"UDS02-7","1","3",30,"B6144F-MR-6-0-0",60
"UDS02-7","1","3",31,"VANDANA",117.78
"UDS02-7","1","3",32,"C22",11.11
"UDS02-7","1","3",33,"UPLRI-7",35.56
"UDS02-7","1","4",34,"IR72",11.11
"UDS02-7","1","4",35,"CT6510-24-1-2",53.33
"UDS02-7","1","4",36,"CT13382-8-3-M",37.78
"UDS02-7","1","4",37,"IRAT177",53.33
"UDS02-7","1","4",38,"PALAWAN",91.11
"UDS02-7","1","4",39,"PSBRC82",88.89
"UDS02-7","1","4",40,"CT6516-24-3-2",60
"UDS02-7","1","4",41,"IR66424-1-2-1-5",48.89
"UDS02-7","1","4",42,"IR71524-44-1-1",68.89
"UDS02-7","1","4",43,"WAB181-18",44.44
"UDS02-7","1","4",44,"WAB96-1-1",20
"UDS02-7","2","1",45,"AZUCENA",22.22
"UDS02-7","2","1",46,"IR68702-072-1-4-",37.78
"UDS02-7","2","1",47,"IRAT170",17.78
"UDS02-7","2","1",48,"IR65261-09-1-B",6.67
"UDS02-7","2","1",49,"CT6510-24-1-2",95.56
"UDS02-7","2","1",50,"UPLRI-5",48.46
"UDS02-7","2","1",51,"PALAWAN",86.67
"UDS02-7","2","1",52,"IR64",120
"UDS02-7","2","1",53,"IRAT212",46.67
"UDS02-7","2","1",54,"IR55423-01",37.78
"UDS02-7","2","1",55,"CT13377-4-2-M",13.33
"UDS02-7","2","2",56,"WAB638-1",0.11
"UDS02-7","2","2",57,"CT13370-12-2-M",13.33
"UDS02-7","2","2",58,"WAB96-1-1",13.33
"UDS02-7","2","2",59,"VANDANA",142.22
"UDS02-7","2","2",60,"WAB56-125",80
"UDS02-7","2","2",61,"DINORADO",8.89
"UDS02-7","2","2",62,"IRAT177",35.56
"UDS02-7","2","2",63,"PSBRC80",11.23
"UDS02-7","2","2",64,"CT13382-8-3-M",4.44
"UDS02-7","2","2",65,"IR70360-38-1-B-1",55.56
"UDS02-7","2","2",66,"PRIMAVERA",133.33
"UDS02-7","2","3",67,"IR72768-15-1-1",124.44
"UDS02-7","2","3",68,"IR72",68.89
"UDS02-7","2","3",69,"WAB181-18",42.22
"UDS02-7","2","3",70,"PSBRC82",26.67
"UDS02-7","2","3",71,"IR55419-04",26.67
"UDS02-7","2","3",72,"C22",1.32
"UDS02-7","2","3",73,"IR71525-19-1-1",28.89
"UDS02-7","2","3",74,"IRAT216",11.11
"UDS02-7","2","3",75,"IR70358-84-1-1",91.11
"UDS02-7","2","3",76,"IR65907-116-1-B",73.33
"UDS02-7","2","3",77,"UPLRI-7",37.78
"UDS02-7","2","4",78,"IR66424-1-2-1-5",11.11
"UDS02-7","2","4",79,"CT6516-24-3-2",2.22
"UDS02-7","2","4",80,"AUS196",2.22
"UDS02-7","2","4",81,"IR66421-062-1-1-",0.17
"UDS02-7","2","4",82,"IR47686-30-3-2",1.87
"UDS02-7","2","4",83,"IR66417-18-1-1-1",42.22
"UDS02-7","2","4",84,"MARAVILHA",64.44
"UDS02-7","2","4",85,"B6144F-MR-6-0-0",62.22
"UDS02-7","2","4",86,"IR60080-46A",31.11
