"GENO","DTF","YIELD","PK","SBM","HI","PH","TILLER"
"99",93,116.33,49.32,572.5,0.17,86.11,133.8
"100",90,72.72,49.83,610.83,0.1,82.22,114.81
"101",95,81.54,24.35,546.94,0.12,107.22,104.63
"102",96,152.63,78.68,433.33,0.24,70.89,141.67
"103",93,153,69.78,545.28,0.2,81,114.81
"104",94,148.92,44.14,530.83,0.21,82.89,120.37
"105",93,104.9,71.53,469.72,0.18,78.67,111.11
"106",95,26.42,45.37,557.78,0.05,133,105.56
"107",94,217.2,59.9,657.78,0.24,85.44,94.44
"108",99,195.57,78.7,53.33,0.17,96.33,94.44
"109",92,143.64,58.33,623.89,0.18,109.89,121.3
"110",99,46.9,37.1,714.44,0.06,108.56,87.96
"111",88,81.94,37.26,637.92,0.16,105.33,94.44
"112",91,174.8,69.59,480,0.19,73.83,122.22
"113",101,162.85,73.87,629.44,0.18,102.67,165.74
"114",95,187.36,71.64,546.25,0.26,103,127.78
"115",94,204.29,68.72,836.67,0.22,93.89,103.7
"116",93,174.77,65.95,938.33,0.18,107.78,107.41
"117",98,114.04,70.91,649.72,0.16,103.44,120.37
"118",90,118.38,83.57,446.67,0.19,77.56,116.67
"119",91,116.29,79.75,560.83,0.18,98.33,106.48
"120",93,92.78,68.3,472.22,0.16,97,133.33
"121",88,19.9,26.77,692.5,0.03,109.5,118.06
"122",90,131.84,69.34,499.72,0.21,76.67,132.41
"123",90,124.79,41.3,505.56,0.19,100.67,137.96
"124",88,112.3,69.2,690,0.12,99.83,118.06
"125",95,141.46,20.3,543.89,0.2,79.33,120.83
"126",93,56.49,46.48,686.11,0.07,95.11,114.81
"127",94,176.32,57.65,516.39,0.25,90.89,112.96
"128",93,104.67,64.07,635.56,0.13,92.78,130.56
"129",96,164.6,62.72,777.33,0.15,95.11,132.41
"130",93,104.47,60.73,585.83,0.12,97.33,120.37
"131",92,51.69,59.08,626.67,0.12,97.67,100
"132",91,164.83,75.32,596.67,0.2,102.67,106.48
"133",95,128.31,57.51,523.33,0.18,96.17,122.22
"134",91,113.06,33.57,670,0.12,102,111.11
"135",90,208.1,58.37,543.61,0.27,88.11,123.15
"136",90,186.71,73.9,570,0.24,70.33,129.17
"137",92,113.31,56.85,600,0.15,75.78,98.15
"138",94,96.25,68.59,437.5,0.17,88.5,70.83
"139",94,138.89,69.2,490.83,0.28,100.44,146.3
"140",90,85.58,58.75,787.5,0.08,80.11,121.3
"141",92,106.69,55.27,714.17,0.15,106.83,83.33
"142",95,58.98,72.58,751.67,0.08,119.78,109.26
"143",90,56.77,58.42,490.28,0.09,92.67,89.81
"144",95,122.64,54.76,362.5,0.27,69.44,149.07
"145",95,149.07,55.48,630.56,0.18,97.44,115.74
"146",95,288.44,71.29,648.61,0.3,93.78,108.33
"147",95,167.7,62.55,497.78,0.24,84.33,107.41
"148",91,52.99,54.48,531.67,0.09,75.33,119.44
"149",90,138.43,60.3,580.83,0.16,90,129.63
"150",94,61.9,58.27,611.94,0.09,85.83,94.44
"151",92,170.01,76.02,695,0.2,97.78,103.7
"152",91,78.62,34.56,650,0.15,97.44,92.59
"153",96,108.67,55.37,604.17,0.15,91.56,125
"154",91,89.83,58.64,614.72,0.11,83,109.26
"155",94,97.77,75.41,666.67,0.13,85.78,119.44
"156",92,304.09,68.72,534.17,0.36,93.11,125
"157",92,214.13,42.28,770,0.18,105,115.74
"158",92,152.88,47.07,643.89,0.18,88.22,110.19
"159",92,145.8,45.08,659.72,0.19,97.67,102.78
"160",97,146.11,56.64,599.44,0.19,87.11,144.44
"161",92,81.54,73.66,600,0.12,100.78,123.15
"162",95,205.4,69.73,593.89,0.26,90.78,109.26
"163",92,158.32,77.88,518.33,0.23,72.33,145.37
"164",90,222.63,73.18,607.5,0.27,108.22,107.41
"165",95,162.49,47.68,595.83,0.27,64,83.33
"166",90,118.37,52.94,727.22,0.14,88.78,124.07
"167",98,92.83,52.08,571.67,0.14,107.89,118.52
"168",87,132.59,64.68,572.78,0.23,78.33,100
"169",93,135.8,51.18,445.42,0.25,106.67,127.78
"170",97,190.79,68.74,568.06,0.24,98.11,94.44
"171",88,106.18,67.46,492.78,0.18,76,77.78
