"CTRY","Env","Year","Geno","Block","Yield"
"COL","CR CARIMAGU",94,"GUAR","2",2.88
"COL","CR CARIMAGU",94,"GUAR","3",2.968
"COL","CR CARIMAGU",94,"IT146","1",2.095
"COL","CR CARIMAGU",94,"IT146","2",1.833
"COL","CR CARIMAGU",94,"IT146","3",2.31
"COL","CR CARIMAGU",94,"OL5","1",1.45
"COL","CR CARIMAGU",94,"OL5","2",1.578
"COL","CR CARIMAGU",94,"OL5","3",1.238
"COL","CR CARIMAGU",94,"OS6","1",2.755
"COL","CR CARIMAGU",94,"OS6","2",3.063
"COL","CR CARIMAGU",94,"OS6","3",3.168
"COL","CR CARIMAGU",94,"UPL5","1",1.76
"COL","CR CARIMAGU",94,"UPL5","2",2.338
"COL","CR CARIMAGU",94,"UPL5","3",1.667
"COL","CR CARIMAGU",94,"VAND","1",1.87
"COL","CR CARIMAGU",94,"VAND","2",2.103
"COL","CR CARIMAGU",94,"VAND","3",2.265
"COL","CR CARIMAGU",94,"W181-18","1",1.693
"COL","CR CARIMAGU",94,"W181-18","2",2.02
"COL","CR CARIMAGU",94,"W181-18","3",3.13
"COL","CR CARIMAGU",94,"W56-125","1",1.45
"COL","CR CARIMAGU",94,"W56-125","2",1.45
"COL","CR CARIMAGU",94,"W56-125","3",1.625
"COL","CR CARIMAGU",94,"W56-50","1",3.068
"COL","CR CARIMAGU",94,"W56-50","2",2.593
"COL","CR CARIMAGU",94,"W56-50","3",2.4
"COL","CR CARIMAGU",94,"W96-1-1","1",2.763
"COL","CR CARIMAGU",94,"W96-1-1","2",3.415
"COL","CR CARIMAGU",94,"W96-1-1","3",3.638
"COL","EL E.LA.LIB",94,"AZU","1",0.696
"COL","EL E.LA.LIB",94,"AZU","2",0.731
"COL","EL E.LA.LIB",94,"AZU","3",0.804
"COL","EL E.LA.LIB",94,"BGORA","1",1.519
"COL","EL E.LA.LIB",94,"BGORA","2",1.405
"COL","EL E.LA.LIB",94,"BGORA","3",1.637
"COL","EL E.LA.LIB",94,"GUAR","1",1.385
"COL","EL E.LA.LIB",94,"GUAR","2",1.442
"COL","EL E.LA.LIB",94,"GUAR","3",1.379
"COL","EL E.LA.LIB",94,"IT146","1",0.899
"COL","EL E.LA.LIB",94,"IT146","2",0.901
"COL","EL E.LA.LIB",94,"IT146","3",1.094
"COL","EL E.LA.LIB",94,"OL5","1",1.155
"COL","EL E.LA.LIB",94,"OL5","2",0.96
"COL","EL E.LA.LIB",94,"OL5","3",0.959
"COL","EL E.LA.LIB",94,"OS6","1",0.912
"COL","EL E.LA.LIB",94,"OS6","2",0
"COL","EL E.LA.LIB",94,"OS6","3",1.217
"COL","EL E.LA.LIB",94,"UPL5","1",1.172
"COL","EL E.LA.LIB",94,"UPL5","2",1.461
"COL","EL E.LA.LIB",94,"UPL5","3",0.195
"COL","EL E.LA.LIB",94,"VAND","1",0
"COL","EL E.LA.LIB",94,"VAND","2",0
"COL","EL E.LA.LIB",94,"VAND","3",0
"COL","EL E.LA.LIB",94,"W181-18","1",1.596
"COL","EL E.LA.LIB",94,"W181-18","2",1.798
"COL","EL E.LA.LIB",94,"W181-18","3",1.628
"COL","EL E.LA.LIB",94,"W56-125","1",0.622
"COL","EL E.LA.LIB",94,"W56-125","2",0.516
"COL","EL E.LA.LIB",94,"W56-125","3",0.467
"COL","EL E.LA.LIB",94,"W56-50","1",0.873
"COL","EL E.LA.LIB",94,"W56-50","2",1.047
"COL","EL E.LA.LIB",94,"W56-50","3",0.931
"COL","EL E.LA.LIB",94,"W96-1-1","1",1.315
"COL","EL E.LA.LIB",94,"W96-1-1","2",1.82
"COL","EL E.LA.LIB",94,"W96-1-1","3",1.494
"COL","NT ACNATIVA",94,"AZU","1",2.769
"COL","NT ACNATIVA",94,"AZU","2",0.881
"COL","NT ACNATIVA",94,"AZU","3",1.046
"COL","NT ACNATIVA",94,"BGORA","1",0.797
"COL","NT ACNATIVA",94,"BGORA","2",0.533
"COL","NT ACNATIVA",94,"BGORA","3",0.612
"COL","NT ACNATIVA",94,"GUAR","1",1.372
"COL","NT ACNATIVA",94,"GUAR","2",1.341
"COL","NT ACNATIVA",94,"GUAR","3",1.789
"COL","NT ACNATIVA",94,"IT146","1",0.925
"COL","NT ACNATIVA",94,"IT146","2",1.375
"COL","NT ACNATIVA",94,"IT146","3",1.403
"COL","NT ACNATIVA",94,"OL5","1",NA
"COL","NT ACNATIVA",94,"OL5","2",0.671
"COL","NT ACNATIVA",94,"OL5","3",0.982
"COL","NT ACNATIVA",94,"OS6","1",0.978
"COL","NT ACNATIVA",94,"OS6","2",1.284
"COL","NT ACNATIVA",94,"OS6","3",3.174
"COL","NT ACNATIVA",94,"UPL5","1",1.323
"COL","NT ACNATIVA",94,"UPL5","2",1.111
"COL","NT ACNATIVA",94,"UPL5","3",1.545
"COL","NT ACNATIVA",94,"VAND","1",0
"COL","NT ACNATIVA",94,"VAND","2",0
"COL","NT ACNATIVA",94,"VAND","3",0
"COL","NT ACNATIVA",94,"W181-18","1",1.471
"COL","NT ACNATIVA",94,"W181-18","2",0.879
"COL","NT ACNATIVA",94,"W181-18","3",1.357
"COL","NT ACNATIVA",94,"W56-125","1",0.744
